Deejay,Style,Bio Link
Bakongo,Semba,@bakongo_dj
Black genuino,Kizomba/Semba,@blackgenuino_dj
David ruela,UrbanKiz/Salsa,@davidruela_dj
Diva,UrbanKiz/Entertainment,@diva_dj
Do zangado,Semba/AfroKiz,@dozangado_dj
Dwe dyson,UrbanKiz,@dwedyson_dj
Fashion,Social,@fashion_dj
Gepp0,Semba/Salsa,@gepp0_dj
Gepp0 (shows),Semba/Entertainment,@gepp0_dj
Goldloxx,Entertainment,@goldloxx_dj
Ichigo,UrbanKiz/Konpa,@ichigo_dj
Ichigo b2b shark,UrbanKiz,@ichigo_dj
Jois,Social,@jois_dj
Joszi,UrbanKiz/Salsa,@joszi_dj
Leroy,Social,@leroy_dj
Lise,Terras/Social,@lise_dj
Marlas,Semba/Terras,@marlas_dj
Miro kikola,Semba/Entertainment,@mirokikola_dj
Miro kikola b2b sabura,Semba,@mirokikola_dj
Ms winner,UrbanKiz,@mswinner_dj
Nao,UrbanKiz/Konpa,@nao_dj
On fire,Semba/Salsa,@onfire_dj
Paraiso,UrbanKiz/Konpa,@paraiso_dj
Pingusso,UrbanKiz/Konpa,@pingusso_dj
Pingusso b2b paraiso,UrbanKiz,@pingusso_dj
Prime,Terras/Salsa,@prime_dj
Prime b2b waldemar muñoz,Salsa/Bachata,@prime_dj
Raxxx,UrbanKiz,@raxxx_dj
Sabura,Semba/Konpa,@sabura_dj
Savin,Social,@savin_dj
Savy,Social,@savy_dj
Shark,UrbanKiz/Konpa,@shark_dj
Stefanio lima,UrbanKiz/Salsa,@stefaniolima_dj
Stefanio lima (show),UrbanKiz/Entertainment,@stefaniolima_dj
Tray beatz,UrbanKiz/Entertainment,@traybeatz_dj
Waldemar muñoz,UrbanKiz/Salsa,@waldemarmunoz_dj
Zo zangado,Social,@sozangado_dj
