Day,Date,Start Time,End Time,Deejay,Location/Area
Wednesday,06/08/2025,21:30,22:30,Savin,De Dreef Utrecht
Wednesday,06/08/2025,22:30,23:30,Zo zangado,De Dreef Utrecht
Wednesday,06/08/2025,23:30,00:30,Stefanio Lima,De Dreef Utrecht
Wednesday,06/08/2025,00:30,01:15,Do zangado,De Dreef Utrecht
Wednesday,06/08/2025,01:15,02:00,Stefanio Lima,De Dreef Utrecht
Thursday,07/08/2025,14:00,15:00,Goldloxx,Novotel Outdoor Social Terras
Thursday,07/08/2025,15:00,16:00,Lise,Novotel Outdoor Social Terras
Thursday,07/08/2025,16:00,17:00,Diva,Novotel Outdoor Social Terras
Thursday,07/08/2025,17:00,18:00,Savy,Novotel Outdoor Social Terras
Thursday,07/08/2025,18:00,19:00,Jois,Novotel Outdoor Social Terras
Thursday,07/08/2025,23:00,00:00,Dwe dyson,Area 1 Urban
Thursday,07/08/2025,00:00,01:00,Joszi,Area 1 Urban
Thursday,07/08/2025,01:00,02:00,Waldemar muñoz,Area 1 Urban
Thursday,07/08/2025,02:00,03:00,Tray beatz,Area 1 Urban
Thursday,07/08/2025,03:00,04:00,Stefanio lima,Area 1 Urban
Thursday,07/08/2025,04:00,05:00,Paraiso,Area 1 Urban
Thursday,07/08/2025,05:00,06:00,Raxxx,Area 1 Urban
Thursday,07/08/2025,23:00,00:00,Black genuino,Area 2 Hall
Thursday,07/08/2025,00:00,01:00,Stefanio lima,Area 2 Hall
Thursday,07/08/2025,01:00,02:00,Paraiso,Area 2 Hall
Thursday,07/08/2025,02:00,03:00,Do zangado,Area 2 Hall
Thursday,07/08/2025,03:00,04:00,Black genuino,Area 2 Hall
Thursday,07/08/2025,04:00,05:00,Marlas,Area 2 Hall
Thursday,07/08/2025,23:00,00:00,Marlas,Area 3 Semba
Thursday,07/08/2025,00:00,01:00,Gepp0,Area 3 Semba
Thursday,07/08/2025,01:00,02:00,On fire,Area 3 Semba
Thursday,07/08/2025,02:00,03:00,Black genuino,Area 3 Semba
Thursday,07/08/2025,03:00,04:00,Marlas,Area 3 Semba
Thursday,07/08/2025,19:00,20:00,On fire,Summer Breeze
Thursday,07/08/2025,20:00,21:00,Do zangado,Summer Breeze
Thursday,07/08/2025,21:00,22:00,On fire,Summer Breeze
Thursday,07/08/2025,22:00,23:00,Do zangado,Summer Breeze
Friday,08/08/2025,15:00,16:00,David ruela,Area 1 UrbanKiz Social
Friday,08/08/2025,16:00,17:00,Tray beatz,Area 1 UrbanKiz Social
Friday,08/08/2025,18:00,19:00,Nao,Area 1 UrbanKiz Social
Friday,08/08/2025,19:00,20:00,Paraiso,Area 1 UrbanKiz Social
Friday,08/08/2025,15:00,16:00,Marlas,Area 2 Semba Social
Friday,08/08/2025,16:00,17:00,Gepp0,Area 2 Semba Social
Friday,08/08/2025,17:00,18:00,Miro kikola,Area 2 Semba Social
Friday,08/08/2025,18:00,19:00,Bakongo,Area 2 Semba Social
Friday,08/08/2025,19:00,20:00,Sabura,Area 2 Semba Social
Friday,08/08/2025,13:00,14:00,Leroy,Novotel Outdoor Social
Friday,08/08/2025,14:00,15:00,Fashion,Novotel Outdoor Social
