Day,Date,Start Time,End Time,Event,Location
Monday,04/08/2025,20:00,23:00,Check In Passes,The Jungle Amsterdam
Monday,04/08/2025,21:00,01:00,Party,The Jungle Amsterdam
Tuesday,05/08/2025,19:00,23:00,Check In Passes,Ancun Amsterdam
Tuesday,05/08/2025,19:00,21:00,Workshops,Ancun Amsterdam
Tuesday,05/08/2025,21:00,01:00,Party,Ancun Amsterdam
Wednesday,06/08/2025,14:00,18:00,Outdoor Social,Novotel
Wednesday,06/08/2025,20:00,21:00,Check In Passes,De Dreef Utrecht
Wednesday,06/08/2025,21:00,23:00,Workshop,De Dreef Utrecht
Wednesday,06/08/2025,21:30,02:00,Party,De Dreef Utrecht
Thursday,07/08/2025,13:30,17:00,Check In Passes,Novotel
Thursday,07/08/2025,14:00,17:00,Workshops,Novotel
Thursday,07/08/2025,14:00,19:00,Outdoor Social,Novotel
Thursday,07/08/2025,19:00,21:00,Summer Breeze,WesterGas Fabriek
Thursday,07/08/2025,23:00,00:00,Check In Passes,Novotel
Thursday,07/08/2025,00:00,00:30,Party "3 Areas",Novotel
Thursday,07/08/2025,00:00,00:30,Rising Star Presentation,Novotel
Friday,08/08/2025,10:30,19:30,Check In Passes,Novotel
Friday,08/08/2025,11:00,16:00,Workshops,Novotel
Friday,08/08/2025,13:00,16:00,Outdoor Social,Novotel
Friday,08/08/2025,15:00,17:00,Indoor Social "2 Areas",Novotel
Friday,08/08/2025,16:30,17:30,DJ Battle Room 2,Novotel
Friday,08/08/2025,22:00,00:00,Check In Passes,Novotel
Friday,08/08/2025,00:00,00:30,Rising Star Dance Shows Room 2,Novotel
Friday,08/08/2025,00:00,00:30,Artists Presentation,Novotel
Friday,08/08/2025,00:00,07:00,Party "5 Areas",Novotel
Saturday,09/08/2025,11:30,19:30,Check In Passes,Novotel
Saturday,09/08/2025,12:00,16:00,Workshops,Novotel
Saturday,09/08/2025,15:00,16:00,Outdoor Social,Novotel
Saturday,09/08/2025,16:00,17:00,Indoor Social "2 Areas",Novotel
Saturday,09/08/2025,17:00,18:00,Rising Star Dance Battle Room 2,Novotel
Saturday,09/08/2025,18:00,19:00,Artists Meet & Greet Special Invite,Novotel
Saturday,09/08/2025,20:00,22:00,Check In Passes,Novotel
Saturday,09/08/2025,22:00,00:30,Rising Star Dance Shows Room 2,Novotel
Saturday,09/08/2025,00:00,08:00,Party "5 Areas",Novotel
Sunday,10/08/2025,10:30,19:30,Check In Passes,Novotel
Sunday,10/08/2025,11:00,16:00,Workshops,Novotel
Sunday,10/08/2025,13:00,16:00,Outdoor Social,Novotel
Sunday,10/08/2025,15:00,17:00,Indoor Social "2 Areas",Novotel
Sunday,10/08/2025,16:00,18:00,ILKSF Seminar Room 2,Novotel
Sunday,10/08/2025,18:00,20:00,Jack & Jill Game G. Room 2,Novotel
Sunday,10/08/2025,20:00,22:00,Check In Passes,Novotel
Sunday,10/08/2025,22:00,00:30,All Star Dance Shows Room 2,Novotel
Sunday,10/08/2025,00:00,00:30,Rising Star Winner Announcement,Novotel
Sunday,10/08/2025,00:00,00:30,Stefanio Lima Live Showcase,Novotel
Sunday,10/08/2025,00:00,08:00,Party "4 Areas",Novotel
Monday,11/08/2025,14:00,18:00,Outdoor Social,Novotel
Monday,11/08/2025,21:00,01:00,Party,The Jungle Amsterdam
